# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
9456,N8W0A7,ON,V2W1B7,BC,377,$472.03 ,90630,CA,862,$103.03 ,$369 
11153,N8W0A7,ON,V4N4C1,BC,231,$472.52 ,90630,CA,867,$103.52 ,$369 
11432,N8W0A7,ON,V2X8G1,BC,810,$472.47 ,90630,CA,864,$103.47 ,$369 
11492,N8W0A7,ON,V6A1E1,BC,268,$472.59 ,90630,CA,873,$103.59 ,$369 
9503,N8W0A7,ON,V5B2Z9,BC,384,$472.61 ,90630,CA,871,$103.61 ,$369 
12408,N8W0A7,ON,V6A1E1,BC,193,$472.64 ,90630,CA,873,$103.64 ,$369 
12780,N8W0A7,ON,V3W7X4,BC,163,$472.66 ,90630,CA,875,$103.66 ,$369 
11251,N8W0A7,ON,V1M3G4,BC,102,$472.36 ,90630,CA,866,$103.36 ,$369 
11410,N8W0A7,ON,V5Y1Y4,BC,644,$472.48 ,90630,CA,876,$103.48 ,$369 
11557,N8W0A7,ON,V6A1E1,BC,225,$472.49 ,90630,CA,873,$103.49 ,$369 
11958,N8W0A7,ON,V3K6Y7,BC,302,$472.03 ,90630,CA,869,$103.03 ,$369 
11860,N8W0A7,ON,V4A2H9,BC,198,$472.61 ,90630,CA,880,$103.61 ,$369 
9308,N8W0A7,ON,V5M1Z9,BC,139,$470.84 ,90630,CA,873,$102.84 ,$368 
7583,N8W0A7,ON,S4P0J5,SK,237,$471.39 ,54942,WI,308,$103.39 ,$368 
11188,N8W0A7,ON,V2X8G1,BC,344,$471.69 ,90630,CA,864,$103.69 ,$368 
11453,N8W0A7,ON,V4N4C1,BC,131,$471.69 ,90630,CA,867,$103.69 ,$368 
11265,N8W0A7,ON,V5A1X8,BC,144,$470.24 ,90630,CA,871,$103.24 ,$367 
12484,N8W0A7,ON,V2X8H1,BC,161,$470.39 ,90630,CA,861,$103.39 ,$367 
12528,N8W0A7,ON,V3K6Y7,BC,103,$470.48 ,90630,CA,869,$103.48 ,$367 
12942,N8W0A7,ON,V2X8G1,BC,400,$470.48 ,90630,CA,864,$103.48 ,$367 
9997,N8W0A7,ON,V4N4C1,BC,113,$468.89 ,90630,CA,867,$102.89 ,$366 
10767,N8W0A7,ON,S7K2K9,SK,553,$469.09 ,54942,WI,304,$103.09 ,$366 
11646,N8W0A7,ON,V3M6K8,BC,120,$469.47 ,90630,CA,877,$103.47 ,$366 
10439,N8W0A7,ON,V4W0A3,BC,210,$469.45 ,90630,CA,867,$103.45 ,$366 
9952,N8W0A7,ON,V5A2X4,BC,91,$469.49 ,90630,CA,871,$103.49 ,$366 
10400,N8W0A7,ON,V7R4K9,BC,104,$469.46 ,90630,CA,867,$103.46 ,$366 
16023,53142,WI,98072,WA,869,$629.31 ,90630,CA,710,$263.31 ,$366 
11305,N8W0A7,ON,V2X8G1,BC,471,$469.47 ,90630,CA,864,$103.47 ,$366 
