sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
53142,WI,46,FL33025,10863,"$7,918.62 ",5
78501,TX,35,TX78521,13028,$946.07 ,5
79936,TX,26,KY41048,5435,"$2,277.58 ",5
78501,TX,28,TX78521,24023,"$2,407.63 ",5
53142,WI,44,TX78521,5370,"$2,722.84 ",5
41048,KY,11,AZ85226,1060,"$1,923.41 ",5
78501,TX,33,TX78521,8304,$736.48 ,5
41048,KY,24,MA1460,4801,"$1,923.82 ",5
78501,TX,19,TX78521,5982,$710.92 ,5
41048,KY,5,IN46818,2784,$597.17 ,5
41048,KY,41,KY41048,2639,$449.75 ,5
41048,KY,52,OH44145,5059,"$1,122.51 ",5
78501,TX,20,KY41048,16092,"$4,763.06 ",5
53142,WI,52,KY41048,4475,"$1,024.65 ",5
41048,KY,19,NV89030,10967,"$5,686.75 ",5
53142,WI,9,KY41048,4501,$998.70 ,5
41048,KY,8,AZ85338,4004,"$2,330.88 ",5
41048,KY,11,FL33025,11146,"$3,835.62 ",5
41048,KY,12,FL33025,12296,"$4,475.49 ",5
41048,KY,37,NY13760,2341,"$2,603.11 ",5
41048,KY,50,NV89030,9714,"$5,847.16 ",5
78501,TX,9,KY41048,8982,"$3,387.83 ",5
41048,KY,9,FL33025,11976,"$4,412.07 ",5
41048,KY,39,FL33025,14751,"$4,747.41 ",5
41048,KY,5,FL33025,12848,"$4,405.31 ",5
41048,KY,8,TN37013,3477,$703.55 ,4
41048,KY,2,FL33025,12287,"$3,947.46 ",4
41048,KY,6,FL33025,7972,"$2,897.41 ",4
41048,KY,38,NY13760,1329,"$1,444.05 ",4
38133,TN,49,KY41048,8812,"$1,569.85 ",4
38133,TN,50,KY41048,14746,"$2,138.82 ",4
38133,TN,51,KY41048,10523,"$1,612.87 ",4
18020,PA,13,KY41048,1713,$691.40 ,4
41048,KY,51,NV89030,1947,"$1,668.55 ",4
41048,KY,52,NV89030,5173,"$3,701.81 ",4
53142,WI,39,FL33025,2404,"$1,919.41 ",4
53142,WI,40,FL33025,4654,"$4,333.63 ",4
N8W0A7,ON,25,PQH4S1V3,2067,$932.74 ,4
N8W0A7,ON,34,PQH1E5Y7,580,"$1,153.98 ",4
N8W0A7,ON,27,PQG5Y3X6,709,"$1,846.03 ",4
N8W0A7,ON,35,ONM9W5S6,2713,$764.75 ,4
41048,KY,51,PA18109,1148,$697.42 ,4
78501,TX,11,TX78521,10600,$979.88 ,4
78501,TX,14,TX78521,3842,$556.92 ,4
78501,TX,10,KY41048,19181,"$3,914.74 ",4
78501,TX,14,KY41048,10144,"$3,008.41 ",4
37931,TN,31,OH44145,9901,"$1,434.14 ",4
41048,KY,31,IL60642,1946,$627.94 ,4
41048,KY,34,IL60642,7217,"$1,330.87 ",4
41048,KY,35,IL60642,5893,$988.46 ,4
41048,KY,36,IL60642,800,$482.00 ,4
78501,TX,18,KY41048,16675,"$4,936.01 ",4
78501,TX,23,KY41048,7897,"$2,466.34 ",4
53142,WI,3,KY41048,3224,$799.67 ,4
41048,KY,30,CA92503,655,"$1,478.37 ",4
53142,WI,5,KY41048,6743,"$1,058.67 ",4
41048,KY,43,OH44460,2301,$519.15 ,4
41048,KY,6,OH44145,6049,$898.03 ,4
41048,KY,51,OH44145,4094,$996.93 ,4
41048,KY,22,GA30349,1593,$524.63 ,4
41048,KY,6,MI49512,2868,"$1,356.38 ",4
53142,WI,10,KY41048,3039,$618.98 ,4
53142,WI,22,KY41048,2503,$919.67 ,4
41048,KY,14,IN46738,1750,$433.90 ,4
41048,KY,15,IN46738,1961,$466.55 ,4
78501,TX,22,TX78521,1649,$450.20 ,4
78501,TX,5,TX78521,5759,$546.69 ,4
53142,WI,14,FL33025,6741,"$4,982.23 ",4
53142,WI,23,FL33025,5791,"$4,020.72 ",4
53142,WI,5,FL33025,4915,"$3,822.56 ",4
N8W0A7,ON,42,ONL3S3J1,1066,$687.09 ,4
N8W0A7,ON,51,ONL3S3J1,7476,"$1,333.10 ",4
38133,TN,45,KY41048,9277,"$1,629.22 ",4
78501,TX,42,TX78521,11157,$822.92 ,4
78501,TX,16,KY41048,18246,"$4,955.50 ",4
41048,KY,37,IN46738,1612,$484.28 ,4
41048,KY,39,IN46738,1427,$411.20 ,4
41048,KY,41,IN46738,2619,$540.37 ,4
41048,KY,42,IN46738,1634,$419.29 ,4
41048,KY,44,IN46738,1369,$443.05 ,4
N8W0A7,ON,38,ONL3S3J1,1169,$747.62 ,4
N8W0A7,ON,16,ONL3R4H9,2065,$937.55 ,4
N8W0A7,ON,31,ONL3R4H9,879,$738.61 ,4
N8W0A7,ON,1,ONL0S1J0,1173,$878.60 ,4
N8W0A7,ON,14,ONL0S1J0,808,$719.11 ,4
76177,TX,4,TX78521,1215,$543.70 ,4
78501,TX,32,TX78521,4872,$487.87 ,4
78501,TX,34,TX78521,2846,$451.60 ,4
78501,TX,25,TX78521,7217,$714.92 ,4
78501,TX,27,TX78521,2776,$454.00 ,4
78501,TX,29,TX78521,1507,$456.43 ,4
N8W0A7,ON,22,ONL3S3J1,571,$753.32 ,4
N8W0A7,ON,31,ONL3S3J1,1100,$751.64 ,4
N8W0A7,ON,33,ONL3S3J1,649,$694.80 ,4
N8W0A7,ON,35,ONL3S3J1,2552,$951.68 ,4
53142,WI,21,TX78521,2004,"$1,550.31 ",4
41048,KY,27,IN46738,1254,$436.45 ,4
41048,KY,50,IL62025,6338,$977.61 ,4
N8W0A7,ON,49,ONL3R9X4,2509,"$1,070.29 ",4
N8W0A7,ON,11,ONL3S3J1,2481,"$1,026.31 ",4
N8W0A7,ON,18,ONL3S3J1,853,$764.08 ,4
N8W0A7,ON,31,MBR3H0L3,2049,"$1,806.66 ",4
N8W0A7,ON,49,MBR3H0L3,1765,"$1,753.67 ",4
79936,TX,21,KY41048,7503,"$3,033.86 ",4
79936,TX,25,KY41048,4637,"$1,942.10 ",4
41048,KY,5,CO80129,3499,"$1,636.05 ",4
41048,KY,17,CO80129,2171,"$1,914.30 ",4
41048,KY,11,CA92653,2798,"$1,778.77 ",4
41048,KY,48,FL33025,13787,"$4,395.69 ",4
53142,WI,9,TX78521,6709,"$4,386.02 ",4
78501,TX,40,TX78521,5263,$582.47 ,4
41048,KY,40,NC27410,6581,"$1,299.11 ",4
41048,KY,41,IL62025,3893,$739.91 ,4
41048,KY,46,IL60173,2695,$608.95 ,4
41048,KY,19,IL60133,2354,$859.28 ,4
41048,KY,48,IL60133,2124,$831.01 ,4
78501,TX,48,TX78521,10607,$736.35 ,4
41048,KY,16,IN46738,1640,$452.83 ,4
53142,WI,11,TX78521,4763,"$3,250.85 ",4
53142,WI,43,FL33025,3056,"$2,234.39 ",4
53142,WI,50,FL33025,6570,"$3,591.90 ",4
53142,WI,5,TX78521,7154,"$4,484.23 ",4
