Zone,sZip,cZip,CarrierName,Weight,charge_display,estimated_display,Savings
3,41048,37122,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,96813,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,30005,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,85040,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,28217,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,46738,FEDEX,2,$9.13 ,$8.11 ,$1.02 
3,41048,54636,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
2,41048,41048,FEDEX,19,$266.29 ,$59.53 ,$206.76 
3,41048,61602,FEDEX,4,$22.47 ,$11.90 ,$10.57 
3,41048,10022,FEDEX,1,$16.90 ,$8.11 ,$8.79 
3,41048,45206,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,74132,FEDEX,2.1,$8.86 ,$8.39 ,$0.47 
3,41048,39046,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,63146,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,28401,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,75019,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,60133,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,32303,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,40353,FEDEX,2,$16.90 ,$12.03 ,$4.87 
3,41048,30024,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,88792,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,44820,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,76208,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,30024,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,61602,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,32907,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,70506,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,38115,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,21120,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,14602,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,48098,FEDEX,5,$14.17 ,$13.81 ,$0.36 
3,41048,78521,FEDEX,1.8,$8.86 ,$8.11 ,$0.75 
3,41048,21224,FEDEX,2.2,$8.86 ,$8.11 ,$0.75 
3,41048,56003,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,83338,FEDEX,2,$8.86 ,$8.11 ,$0.75 
3,41048,98052,FEDEX,5,$16.93 ,$11.94 ,$4.99 
3,41048,11576,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,60133,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,64117,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,44145,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,46268,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,61748,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,61602,FEDEX,2.2,$8.86 ,$8.11 ,$0.75 
3,41048,41048,FEDEX,1.9,$8.99 ,$8.11 ,$0.88 
3,41048,48187,FEDEX,2.1,$8.99 ,$8.11 ,$0.88 
3,41048,61602,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,22209,FEDEX,2.1,$8.99 ,$8.69 ,$0.30 
3,41048,60133,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,28226,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,80906,FEDEX,2.1,$8.86 ,$8.11 ,$0.75 
3,41048,48189,FEDEX,2,$8.99 ,$8.11 ,$0.88 
3,41048,30336,FEDEX,2,$8.86 ,$8.11 ,$0.75 
